id,name,description,address,city,state,zip_code,phone,email,website,services,state_abbreviation,business_description
23,"All Phase Electric Company, Inc.","Commercial and Industrial Electrical Specialists, New Construction, Above Ground Utilities, High Lift Applications, Standby Generator Support, Underground Site Utilities, Solar Point to Point","28 Haypress Road, Cranbury, NJ 08512",28 Haypress Road,NJ,8512,19084866886,,http://allphaseelectric.net/,"[""Commercial and Industrial Electrical Specialists, New Construction, Above Ground Utilities, High Lift Applications, Standby Generator Support, Underground Site Utilities, Solar Point to Point""]",Cranbury,
24,"Greenpath Technologies, Inc.","Full service solar power systems contractor, offering unique turnkey solutions in renewable energy for commercial, industrial, government, military, residential, and non-profit customers.","94-260 Pupuole Street, Waipahu, HI, 96797",Waipahu,HI,96797,18087488418,,http://www.greenpath-tech.com,"[""Full service solar power systems contractor, offering unique turnkey solutions in renewable energy for commercial, industrial, government, military, residential, and non-profit customers.""]",HI,
25,Infinity Electric LLC,"Residential and commercial electrical services, including repairs, installations, remodels, hot tub/sauna electrical, and new residential wiring.","7610 Adelman Drive, Horace, ND, 58047",Horace,ND,58047,17013718780,,http://www.infinityelectricnd.com,"[""Residential and commercial electrical services, including repairs, installations, remodels, hot tub/sauna electrical, and new residential wiring.""]",ND,
26,A & A Quality Roofing,"Premium roofing services, siding, and seamless gutters for residential and commercial clients. They offer roof repairs, replacements, inspections, and various roof types including asphalt shingles, metal roofing, and Tesla Solar Roof. They also provide seamless gutters, siding, spray foam insulation, windows & doors, and whole home generators.","3377 N US Hwy 63, West Plains, MO, 65775",West Plains,MO,65775,14172560755,,http://aaqualityroofing.com,"[""Premium roofing services, siding, and seamless gutters for residential and commercial clients. They offer roof repairs, replacements, inspections, and various roof types including asphalt shingles, metal roofing, and Tesla Solar Roof. They also provide seamless gutters, siding, spray foam insulation, windows & doors, and whole home generators.""]",MO,
27,Four Seasons Exteriors & Roofing,Roofing & Exteriors,"90 Florida Street, Farmingdale, New York, 11735",Farmingdale,NY,11735,15162178899,FourSeasons@FSENY.com,https://fourseasonsroofingny.com,"[""Roofing & Exteriors""]",NewYork,
28,A&J Electric INC.,Electrical company with a full service contractor.,"TN Branch: 616 South Avant Lane, Memphis, TN 38105
AR Branch: 40 Snuggs Circle.Mayflower, AR 72106",Memphis,CA,72106,,ajelectric@aj-electricllc.com,,"[""Electrical company with a full service contractor.""]",TNARBranchSnuggsCircleMayflower,
29,Erthos,"Solar integration platform, modular solar plant, project finance, engineering, procurement, construction, O&M services, professional training programs, and more","20 East University Drive, Suite 308, Tempe, Arizona, 85281",Tempe,AZ,85281,14804547888,info@erthos.com,https://erthos.com,"[""Solar integration platform, modular solar plant, project finance, engineering, procurement, construction, O&M services, professional training programs, and more""]",Arizona,
30,Adon Renewables,"Innovations in microgrid and DC technologies, renewable energy financing, in-house software such as Adon HOME and AdonEMS advanced LFP batteries: PowerBox 20’ Container (2.5MWh – 5.6MWh), PowerBox Cabinet (130kWh – 530kWh), PowerBox Mini (10 KWh – 25 kWh). Hybrid solar heat pumps (SunChillers™) from 3-ton to 30-ton and bi-directional mobile battery systems","45-781 Kamehameha Hwy., Suite A, Kaneohe, HI, 96744",Kaneohe,HI,96744,18082361110,support@adon1.com,http://adonrenewables.com/,"[""Innovations in microgrid and DC technologies, renewable energy financing, in-house software such as Adon HOME and AdonEMS advanced LFP batteries: PowerBox 20’ Container (2.5MWh – 5.6MWh), PowerBox Cabinet (130kWh – 530kWh), PowerBox Mini (10 KWh – 25 kWh). Hybrid solar heat pumps (SunChillers™) from 3-ton to 30-ton and bi-directional mobile battery systems""]",HI,
31,Element electrical,"Electrical services including commercial, residential, new construction/remodel","4886 Hercules Ave, Suite D, the, El Paso, TX 79904",the,TX,79904,19154786965,,http://www.elementelectrical10.work,"[""Electrical services including commercial, residential, new construction/remodel""]",ElPaso,
32,Abundant Solar,"Solar electric systems for homes and businesses. Design and building solar electric systems, residential solar, commercial solar incentives, battery storage, solar service/repair, products & partners","7267 NW Grandview Dr, Corvallis, OR, 97330",Corvallis,OR,97330,15412318072,,http://www.abundantsolar.com,"[""Solar electric systems for homes and businesses. Design and building solar electric systems, residential solar, commercial solar incentives, battery storage, solar service/repair, products & partners""]",OR,
33,Cromwell Solar,"Residential and Commercial Solar Panel Installation, Generators, Battery Backup Systems, Electric Vehicle Chargers","615 Vermont Street, Lawrence, KS, 66044",Lawrence,KS,66044,17853711429,contact@cromwellsolar.com,https://www.cromwellsolar.com,"[""Residential and Commercial Solar Panel Installation, Generators, Battery Backup Systems, Electric Vehicle Chargers""]",KS,
34,Gunnar Electric Inc,Electrical contractor providing quality electrical work for residential and commercial clients,"14850 Martin Drive, Eden Prairie, MN, 55344",Eden Prairie,MN,55344,19529379262,,https://www.example.com,"[""Electrical contractor providing quality electrical work for residential and commercial clients""]",MN,
35,"Solar Electric San Diego, CA","Solar Panel Installation, Residential Solar, Commercial Solar, Battery Storage","10965 San Diego Mission Road, San Diego, CA, 92108",San Diego,CA,92108,16194881117,,http://www.cmsolarelectric.com,"[""Solar Panel Installation, Residential Solar, Commercial Solar, Battery Storage""]",CA,
36,Art Green Construction,Construction services,"18375 Ventura Blvd. Suite 703 Tarzana, CA, 91356",18375 Ventura Blvd. Suite 703 Tarzana,CA,91356,18189950552,info@artgreenconstruction.com,http://www.artgreenconstruction.com,"[""Construction services""]",CA,
37,Artex Electric,"Commercial and Industrial Electrical Services, including commercial and industrial lighting, parking lot lighting, generator installation and repair, solar panel installation and maintenance","610 Division Street, Texarkana, AR, 71854",Texarkana,AR,71854,18706213110,info@artexelectric.com,http://www.artexelectric.com,"[""Commercial and Industrial Electrical Services, including commercial and industrial lighting, parking lot lighting, generator installation and repair, solar panel installation and maintenance""]",AR,
38,Golden State Comfort Systems,"Quality Trane products at the highest quality installations. Heating, Air Conditioning, and Commercial services. Scheduled maintenance and repair services for all makes and models. Federal tax credits and utility company rebates available.","1627 Capitola Way, Fairfield, CA, 94534",Fairfield,CA,94534,17074343664,goldenstatecomfort@yahoo.com,http://www.goldenstatecomfort.com,"[""Quality Trane products at the highest quality installations. Heating, Air Conditioning, and Commercial services. Scheduled maintenance and repair services for all makes and models. Federal tax credits and utility company rebates available.""]",CA,
39,Green Nation Solar,"Solar Contractors, Providing General Solar Energy Systems, Photovoltaic, Renewable Energy System, Solar Electric, Solar Financing, Solar Roof Panels","6100 Lake Eleanor Dr, Suite 251, Orlando, FL, 32809",Orlando,FL,32809,14075732262,,http:///,"[""Solar Contractors, Providing General Solar Energy Systems, Photovoltaic, Renewable Energy System, Solar Electric, Solar Financing, Solar Roof Panels""]",FL,
40,Adman Electric,Electrical contractors.,Southeast,,CA,,14236225103,info@admanelectric.com,http://www.admanelectric.com,"[""Electrical contractors.""]",,
41,4 S.T.E.L. Engineering,Solutions to meet our clients' structural design and engineering needs.,"26030 Acero, Mission Viejo, CA, 92691",Mission Viejo,CA,92691,19493051150,info@4steleng.com,http://www.zweiggroup.com/2021/03/19/4-s-t-e-l-engineering-acquires-bti/,"[""Solutions to meet our clients' structural design and engineering needs.""]",CA,
42,A#1 Air,"HVAC, Plumbing, and Electrical services, including AC repair, installation, tune-up, emergency services, heating repair and installation, plumbing repair, drain cleaning, electrical services, and indoor air quality testing.","601 East Corporate Drive, Lewisville, Texas, 75057",Lewisville,TX,75057,19727462224,,http://anumber1air.com/,"[""HVAC, Plumbing, and Electrical services, including AC repair, installation, tune-up, emergency services, heating repair and installation, plumbing repair, drain cleaning, electrical services, and indoor air quality testing.""]",Texas,
43,A C Electric Corp,"Electrical contracting company with professional experience. Services include: General electrical installations, Low voltage systems - phone, data, and TV cabling, Single-Family Homes and Condominiums, Commercial Property, Industrial Buildings.","12625 Danielson Court, Suite 111, Poway, CA, 92064",Poway,CA,92064,18587486973,,http://www.example.com,"[""Electrical contracting company with professional experience. Services include: General electrical installations, Low voltage systems - phone, data, and TV cabling, Single-Family Homes and Condominiums, Commercial Property, Industrial Buildings.""]",CA,
44,Fisher Solar LLC,"Solar Design, Sales, Service, and Installation","Cogan Station, PA 17728-9141 United States",Cogan Station,PA,177289141,15702207274,info@fishersolar.com,http://www.fishersolar.com,"[""Solar Design, Sales, Service, and Installation""]",PAUnitedStates,
45,1st Choice Energy Builders Inc.,"Roof replacements, Tile roofs, Shingle roofs, Flat roofs for both commercial and residential.","18375 Ventura Blvd, Ste. 327, Tarzana, CA, 91356",Tarzana,CA,91356,18182770514,office@firstchoiceenergybuildersinc.com,http://www.firstchoiceenergybuildersinc.com,"[""Roof replacements, Tile roofs, Shingle roofs, Flat roofs for both commercial and residential.""]",CA,
46,G2 Roofing & Construction,"Residential and commercial roofing services, including new roof installation, replacement, repairs, and storm damage repair.","6920 South Jordan Road, #H, Centennial, CO, 80112",Centennial,CO,80112,17204800076,g2quote@gmail.com,http://www.g2roofing.com,"[""Residential and commercial roofing services, including new roof installation, replacement, repairs, and storm damage repair.""]",CO,
47,ACK Smart Solar Energy,"Solar panel installation, solar energy systems, sustainable and eco-friendly solutions","4 S Beach St, Nantucket, MA, 02554",Nantucket,MA,2554,15082571786,solar@acksmart.com,http://www.acksmart.com,"[""Solar panel installation, solar energy systems, sustainable and eco-friendly solutions""]",MA,
48,510 Nano,"Innovators and Consultants, project and technology development, project management, asset management, technology commercialization, manufacturing excellence, strategic consulting, finance, energy, and materials.","PO Box 110401, Durham, NC, 27709",Durham,,27709,18775106266,,http://www.510nano.com,"[""Innovators and Consultants, project and technology development, project management, asset management, technology commercialization, manufacturing excellence, strategic consulting, finance, energy, and materials.""]",NC,
49,LinkNow! Media,Site error! Please contact LinkNow Media.,"Avalon, PA, 15202",Avalon,XX,15202,14129698433,,http://www.atozqualityelectric.com,"[""Site error! Please contact LinkNow Media.""]",PA,
50,Arcadia Electrical Company,Electrical contractor providing comprehensive commercial and residential services,"1005 Wyckoff Avenue, Ridgewood, NY 11385",1005 Wyckoff Avenue,NY,11385,17184180106,info@arcadiaelectric.com,http://www.arcadiaelectrical.com,"[""Electrical contractor providing comprehensive commercial and residential services""]",Ridgewood,
51,Handymen of America Inc.,"Home repairs, Green Energy & Energy Conservation, Repair/Install Almost Anything & Everything, Arbors, Plumbing, gas, oil heating, and cooling services, Web Design, Technical Analysis, and Solar System Integration","497 Westside Avenue, Jersey City, NJ, 07304",Jersey City,NJ,7304,18622901243,,http://www.handymen-of-america.com,"[""Home repairs, Green Energy & Energy Conservation, Repair/Install Almost Anything & Everything, Arbors, Plumbing, gas, oil heating, and cooling services, Web Design, Technical Analysis, and Solar System Integration""]",NJ,
52,Formula Roofing,"Residential and Commercial roofing, roof repair, roof replacement, historic tile restoration, storm damage projects, insurance claims, roof replacements, new installations, tile roofing, asphalt shingles, clay and concrete tile, slate, metal roofing, and flat roofing membranes and coatings.","4560 Columbine St, Denver, CO, 80216",Denver,CO,80216,13036008696,info@formularoofing.com,http://www.formularoofing.com,"[""Residential and Commercial roofing, roof repair, roof replacement, historic tile restoration, storm damage projects, insurance claims, roof replacements, new installations, tile roofing, asphalt shingles, clay and concrete tile, slate, metal roofing, and flat roofing membranes and coatings.""]",CO,
53,AdamsGroupArchitects,architectural programming planning design,"7845 Colony Road, Suite C4-241, Charlotte, NC, 28226",Charlotte,NC,28226,17043410303,,http://www.theadamsgroup.com,"[""architectural programming planning design""]",NC,
54,A&J Electric INC.,"We provide all of your electrical needs. We provide you with excellent service, quality workmanship, product reliability and satisfaction.","616 South Avant Lane, Memphis, TN 38105, 40 Snuggs Circle, Mayflower, AR 72106",40 Snuggs Circle,,72106,,ajelectric@aj-electricllc.com,http://aj-electricllc.com,"[""We provide all of your electrical needs. We provide you with excellent service, quality workmanship, product reliability and satisfaction.""]",Mayflower,
55,ACTION SOLAR & ELECTRIC,"Full service commercial/residential solar-installation company and licensed electrical contracting company. Specializes in trackers, and is equally experienced with roof mounted solar systems.","204 Deer Ridge Dr., Chapel Hill, NC 27516",204 Deer Ridge Dr.,"VT, NC",27516,19192599533,,http://www.actionsolarnc.com/,"[""Full service commercial/residential solar-installation company and licensed electrical contracting company. Specializes in trackers, and is equally experienced with roof mounted solar systems.""]",ChapelHill,
56,Flatrock Solar,"Solar System Design & Installation, Turn-key solutions, Solar and Energy Storage (battery) systems, and more","Durango, CO, 81303 United States",Durango,CO,81303,19704035004,info@flatrocksolar.com,https://flatrocksolar.com,"[""Solar System Design & Installation, Turn-key solutions, Solar and Energy Storage (battery) systems, and more""]",CO,
57,Elite Electric,"Solar Power, Safe and Clean Energy for a Better Tomorrow","9415 Bellegrave Ave., Riverside, CA, 92508",Riverside,CA,92508,19516815811,,https://www.elite-electricinc.com,"[""Solar Power, Safe and Clean Energy for a Better Tomorrow""]",CA,
58,"FOUR ELEMENTS ENERGY, Inc.",Renewable Energy Solutions for residential and commercial business,"54630 60th Avenue, Lawrence, MI, 49064",Lawrence,MI,49064,12692671804,,https://www.fourelementsenergy.com,"[""Renewable Energy Solutions for residential and commercial business""]",MI,
59,A-TEX Roofing & Remodeling,"Residential and Commercial roofing, including repair, replacement, and installation. Services include: Residential Roofing, Commercial Roofing, Total Care Club, Emergency Roof Repair, Gutter Installation, Painting, Carpentry, Garage Doors, Siding Installation, Solar Installation, Asphalt Roofing, Insulation","16106 University Oak Suite 2, San Antonio, TX 78249",16106 University Oak Suite 2,TX,78249,12107750398,info@atexroofing.com,http://atexroofing.com,"[""Residential and Commercial roofing, including repair, replacement, and installation. Services include: Residential Roofing, Commercial Roofing, Total Care Club, Emergency Roof Repair, Gutter Installation, Painting, Carpentry, Garage Doors, Siding Installation, Solar Installation, Asphalt Roofing, Insulation""]",SanAntonio,
60,Go Green Solar,Solar energy solutions,United States,,CA,,18888980777,,http://www.gospsolar.com,"[""Solar energy solutions""]",,
61,Ecotech Solar,"Solar energy design and installation, battery backup, solar panel experts","1331 Meador Ave, STE 103, Bellingham WA 98229",1331 Meador Ave,WA,98229,13603187646,info@ecotechsolar.com,https://ecotechsolar.com,"[""Solar energy design and installation, battery backup, solar panel experts""]",STE,
62,JK Exteriors,"Roofing, Exteriors & Home Remodeling, Solar Panels, Roofing, Exterior, Remodeling, Siding and windows, kitchen or bathroom remodeling, exterior replacements and help with insurance claims due to storm damage.","High Ridge, MO, 63049",High Ridge,MO,63049,13149686628,office@jkexteriors.com,http://www.jkexteriors.com,"[""Roofing, Exteriors & Home Remodeling, Solar Panels, Roofing, Exterior, Remodeling, Siding and windows, kitchen or bathroom remodeling, exterior replacements and help with insurance claims due to storm damage.""]",MO,
63,Scarab Media,"Website development, maintenance and E-commerce solutions","735 Montgomery St #250, San Francisco, CA, 43202",San Francisco,CA,43202,19259436282,support@projecta.com,https://projecta.com,"[""Website development, maintenance and E-commerce solutions""]",CA,
64,360 Electric HVAC,"Electrical services, HVAC, generators, and solar solutions for homes and businesses.","180 Detroit Ave, Morton, IL 61550",180 Detroit Ave,IL,61550,13092228328,office@360-elec.com,http://www.360electrichvac.com,"[""Electrical services, HVAC, generators, and solar solutions for homes and businesses.""]",Morton,
65,Four Ace Electrical Services Corporation,"Electrical services, industrial, commercial, and residential","3723 Far Niente Way, Sacramento, CA 95834",3723 Far Niente Way,CA,95834,19164194626,email@fouraceelectrical.com,https://fouraceelectrical.com,"[""Electrical services, industrial, commercial, and residential""]",Sacramento,
66,"Greenergy Solar, Generator & Home Improvements","Window replacement, siding replacement & installation, roofing, decks, gutters, soffit, and fascia.","139, Century Commerce Loop, Labadie, Missouri, 63055",Labadie,MO,63055,16364321480,,http://www.greenergysolarandgenerator.com,"[""Window replacement, siding replacement & installation, roofing, decks, gutters, soffit, and fascia.""]",Missouri,
67,Honey's Air & Solar,"HVAC (Heating, Ventilation, and Air Conditioning) and solar services including repair, replacement, installation, and maintenance of air conditioners, heat pumps, furnaces, and solar panels. They also offer indoor air quality services, duct cleaning, and sell related products like filters and thermostats.","501 Bitritto Way, Modesto, CA 95356",501 Bitritto Way,CA,95356,12095661978,,http://www.honeysair.com,"[""HVAC (Heating, Ventilation, and Air Conditioning) and solar services including repair, replacement, installation, and maintenance of air conditioners, heat pumps, furnaces, and solar panels. They also offer indoor air quality services, duct cleaning, and sell related products like filters and thermostats.""]",Modesto,
68,Adam T. Inc.,"Building high-performance homes, renovations, and energy audits.","455 State Rd., PMB 303 Vineyard Haven, MA 02568",455 State Rd.,,2568,15086933733,,http://www.adamtinc.com,"[""Building high-performance homes, renovations, and energy audits.""]",PMBVineyardHaven,
69,Allegiance Electric & Controls,"Electrical and control services for industrial, commercial, and renewable energy projects, including solar energy solutions and EV charging installations.","104 Galveston, Wichita Falls, TX, 76301",Wichita Falls,XX,76301,19405924340,Sales@aecllc.com,http://aecllc.com/,"[""Electrical and control services for industrial, commercial, and renewable energy projects, including solar energy solutions and EV charging installations.""]",TX,
70,All Sun Solutions,"All Sun Solutions is a Fresno based solar company specializing in solar panels and solar systems for your home or business. We offer additional services like, solar system assessment, solar panel cleaning, as well as second or additional solar systems through our trusted vendor partnerships.","5096 North Blythe Avenue, Suite 100, Fresno, CA 93722",Suite 100,CA,93722,15592502804,contact@AllSunSolutions.com,http://www.allsunsolutions.com,"[""All Sun Solutions is a Fresno based solar company specializing in solar panels and solar systems for your home or business. We offer additional services like, solar system assessment, solar panel cleaning, as well as second or additional solar systems through our trusted vendor partnerships.""]",Fresno,
71,All Pro Solar,"Solar Installation, Solar Services, Solar and Roof (Home Improvement Loans), Removals and Reinstalls, Solar Panel Cleaning, and Solar Pool Panels, Commercial Cleaning, Popcorn Removal, Painting, Custom Closets","1393 SW 12th Ave, Pompano Beach, FL 33069",1393 SW 12th Ave,USA,33069,15614048095,sales@allprosolar.org,http://apsolarllc.com/,"[""Solar Installation, Solar Services, Solar and Roof (Home Improvement Loans), Removals and Reinstalls, Solar Panel Cleaning, and Solar Pool Panels, Commercial Cleaning, Popcorn Removal, Painting, Custom Closets""]",PompanoBeach,
72,Hero Construction Group,"Window, Roofing & Solar Installation","5912 Watson Rd., Riverview, FL, 33578",Riverview,FL,33578,14079236106,gpeterson@herocofl.com,http://www.herocofl.com,"[""Window, Roofing & Solar Installation""]",FL,
